,MOBILE_NAME,FEATURES,MOBILE_REVIEW,MOBILE_PRICE
0,"REDMI 13C (Starfrost White, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"46,823 Ratings & 2,066 Reviews","₹7,699"
1,"vivo T3 5G (Cosmic Blue, 256 GB)",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7200 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"48,902 Ratings & 3,679 Reviews","₹20,499"
2,"CMF by Nothing Phone 1 (Light Green, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7300 5G Processor1 Year Manufacturing Warranty,"17,710 Ratings & 1,670 Reviews","₹13,999"
3,"SAMSUNG Galaxy A14 5G (Dark Red, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 2MP + 2MP | 13MP Front Camera5000 mAh Lithium Ion BatteryExynos 1330 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,"4,580 Ratings & 283 Reviews","₹9,999"
4,"POCO X6 5G (Skyline Blue, 256 GB)",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display64MP + 8MP + 2MP | 16MP Front Camera5100 mAh Battery7s Gen 2 Mobile Platform 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"15,093 Ratings & 1,743 Reviews","₹15,999"
5,"Infinix Note 40 Pro 5G (Racing Grey, 256 GB)",8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display108MP (OIS) + 2MP + 2MP | 32MP Front Camera5000 mAh BatteryMediatek Dimensity 7020 Processor1 Year Warranty on Handset and 6 Months Warranty on Inbox Accessories,"11,659 Ratings & 940 Reviews","₹17,999"
6,"SAMSUNG Galaxy A14 5G (Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 2MP + 2MP | 13MP Front Camera5000 mAh Lithium Ion BatteryExynos 1330 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,"8,693 Ratings & 567 Reviews","₹10,999"
7,"Nothing Phone (2a) Plus (Black, 256 GB)",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 50MP | 50MP Front Camera5000 mAh BatteryDimensity 7350 Pro 5G Processor1 Year Manufacturing Warranty,659 Ratings & 55 Reviews,"₹25,999"
8,"Motorola g64 5G (Pearl Blue, 256 GB)",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display50MP (OIS) + 8MP | 16MP Front Camera6000 mAh BatteryDimensity 7025 Processor1 Year on Handset and 6 Months on Accessories,"21,437 Ratings & 1,442 Reviews","₹14,999"
9,"Motorola g64 5G (Mint Green, 256 GB)",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display50MP (OIS) + 8MP | 16MP Front Camera6000 mAh BatteryDimensity 7025 Processor1 Year on Handset and 6 Months on Accessories,"21,437 Ratings & 1,442 Reviews","₹14,999"
